date,isin,NIP,ipt,guidance,initialSpreadToSwap,coupon,maturityTerm,spreadToSwap,spreadDiscount,maturityTermLog,issuerType,paymentRank,issueSize,issueSizeLog,rating
2019-06-19,XS2018636600,2.100706973289302,80.0,57.5,0.8,0.25,6.0,0.3655,0.06818537881026539,1.791759469228055,Corporate,Sr Unsecured,600.0,6.396929655216146,BBB
2019-06-24,XS2019976070,1.791939680868042,70.0,47.5,0.7,0.75,12.0,0.39849999999999997,0.09354297031036524,2.4849066497880004,Corporate,Sr Unsecured,500.0,6.214608098422191,A+
2019-06-24,DK0009522062,1.0656190836200352,107.5,90.0,1.075,0.625,5.0,0.8314999999999999,0.24775055200252813,1.6094379124341003,Financials,Sr Non Preferred,500.0,6.214608098422191,BBB+
2019-06-24,FR0013430741,-6.777210287094377,72.5,50.0,0.725,0.625,11.0,0.3420000000000001,0.09625207133027275,2.3978952727983707,Corporate,Sr Unsecured,600.0,6.396929655216146,A-
2019-06-24,FR0013430733,6.06428708939693,112.5,97.5,1.125,0.875,7.0,0.9195,0.30268255888107015,1.9459101490553132,Financials,Sr Non Preferred,750.0,6.620073206530356,BBB+
2019-06-25,XS2021467753,15.290473335669004,130.0,110.0,1.3,0.9,8.0,0.877,0.7072125050294094,2.0794415416798357,Financials,Sr Unsecured,500.0,6.214608098422191,BBB+
2019-06-26,XS2022037795,10.104789835324825,,-1.0,-0.01,0.0,5.0,0.195,-0.08574681576510831,1.6094379124341003,Financials,Secured,750.0,6.620073206530356,NR
2019-06-26,XS2021471433,5.079769853246011,65.0,50.0,0.65,0.375,6.5,0.4494518021744728,-0.09133477144747641,1.8718021769015913,Corporate,Sr Unsecured,600.0,6.396929655216146,A
2019-07-01,XS2023633931,10.41856164377401,145.0,125.0,1.45,0.75,5.0,1.0055,0.8496557379596352,1.6094379124341003,Financials,Sr Unsecured,600.0,6.396929655216146,BBB-
2019-07-01,XS2023643146,1.5412440816058068,50.0,27.5,0.5,0.005,4.5,0.2961849735157559,0.23943391117914226,1.5040773967762742,Corporate,Sr Unsecured,600.0,6.396929655216146,A
2019-07-01,XS2023644201,3.826051814681621,75.0,50.0,0.75,0.375,8.0,0.3835,0.4676182622225775,2.0794415416798357,Corporate,Sr Unsecured,600.0,6.396929655216146,A
2019-07-01,FR0013432770,-1.4535398652910096,50.0,45.0,0.5,0.125,4.5,0.4161849735157559,0.018892122339832,1.5040773967762742,Financials,Sr Preferred,1560.0,7.352441100243583,A
2019-07-02,XS2023631489,2.5936614685778463,140.0,120.0,1.4,0.875,6.0,1.05,0.915796568554659,1.791759469228055,Financials,Sr Preferred,500.0,6.214608098422191,BBB+
2019-07-02,XS2023872174,14.03913412166454,137.5,,1.375,0.625,6.0,0.8,0.5802035869488157,1.791759469228055,Corporate,Sr Unsecured,800.0,6.684611727667927,BBB+
2019-07-02,XS2023873149,10.894910567249278,182.5,,1.825,1.45,9.0,1.382,0.7841273973620606,2.1972245773362196,Corporate,Sr Unsecured,600.0,6.396929655216146,BBB+
2019-07-03,ES0413900566,3.8704298070427328,20.0,,0.2,0.25,10.0,0.14100000000000001,0.001115824842954213,2.302585092994046,Financials,Secured,1500.0,7.313220387090301,AA
2019-07-03,XS2025468542,0.7492353316855256,,10.0,0.1,0.04,8.0,0.085,-0.01251202905603054,2.0794415416798357,Financials,Secured,1000.0,6.907755278982137,AAA
2019-07-08,FR0013434321,2.6620452189412704,,8.0,0.08,0.125,10.0,0.0199,-0.005295984385859927,2.302585092994046,Financials,Secured,1000.0,6.907755278982137,AAA
2019-07-10,FR0013434776,15.68841456169865,95.0,77.5,0.95,0.5,6.0,0.635,0.1762739340404563,1.791759469228055,Financials,Sr Non Preferred,1000.0,6.907755278982137,A-
2019-07-10,DE000BHY0GL4,2.32451684294565,,1.0,0.01,0.01,8.0,-0.007000000000000001,0.02798303943746305,2.0794415416798357,Financials,Secured,500.0,6.214608098422191,AAA
2019-07-11,XS2028816028,1.0055718458488423,125.0,,1.25,0.875,6.0,0.98,0.7992413288947013,1.791759469228055,Financials,Sr Preferred,1000.0,6.907755278982137,BBB
2019-07-11,XS2029574634,21.884404482250524,100.0,77.5,1.0,0.375,4.0,0.6399999999999999,0.5840442778585054,1.3862943611198906,Financials,Sr Unsecured,500.0,6.214608098422191,BBB+
2019-07-16,XS2028899727,11.397335033149648,70.0,60.0,0.7,0.339,5.0,0.5815,0.15693320254982812,1.6094379124341003,Financials,Sr Unsecured,500.0,6.214608098422191,A-
2019-07-16,XS2031862076,-1.806457085462157,55.0,45.0,0.55,0.125,5.0,0.36749999999999994,0.051020735821676745,1.6094379124341003,Financials,Sr Unsecured,1000.0,6.907755278982137,A
2019-07-17,DE000LB2CLH7,1.881717878450387,,65.0,0.65,0.375,7.0,0.4855,-0.14639680590555526,1.9459101490553132,Financials,Sr Non Preferred,500.0,6.214608098422191,A-
2019-07-18,XS2033351995,4.550757382485962,70.0,47.5,0.7,0.125,6.0,0.31999999999999995,0.05006092063041521,1.791759469228055,Corporate,Sr Unsecured,500.0,6.214608098422191,BBB+
2019-07-23,XS2034626460,16.2355357419382,100.0,72.5,1.0,0.45,6.0,0.675,0.28169513828900017,1.791759469228055,Corporate,Sr Unsecured,500.0,6.214608098422191,BBB
2019-07-26,XS2035620710,6.869980516758779,70.0,42.5,0.7,0.25,8.0,0.3439,0.46742477902906104,2.0794415416798357,Corporate,Sr Unsecured,750.0,6.620073206530356,BBB
2019-07-30,XS2035473748,6.532799180860262,75.0,55.0,0.75,0.125,7.0,0.29999999999999993,-0.08900242701320511,1.9459101490553132,Corporate,Sr Unsecured,500.0,6.214608098422191,A
2019-07-30,XS2035474126,0.4245102295824807,100.0,80.0,1.0,0.8,12.0,0.6220000000000001,-0.6501147805957171,2.4849066497880004,Corporate,Sr Unsecured,750.0,6.620073206530356,A
2019-08-01,DE000A2YNZW8,7.204682078440499,80.0,65.0,0.8,0.375,7.25,0.6011470210891264,0.1476443668513609,1.9810014688665833,Corporate,Sr Unsecured,1000.0,6.907755278982137,A
2019-08-01,DE000A2YNZV0,-0.8210275529085773,67.5,47.5,0.675,0.0,4.5,0.39085538298867667,0.16204915283075164,1.5040773967762742,Corporate,Sr Unsecured,750.0,6.620073206530356,A
2019-08-01,DE000A2YNZX6,16.725434199395576,95.0,82.5,0.95,0.75,10.5,0.7472627183931984,-0.24329202886139484,2.3513752571634776,Corporate,Sr Unsecured,750.0,6.620073206530356,A
2019-08-15,XS2043678841,11.584161278925915,90.0,72.5,0.9,0.125,5.0,0.69,0.8906005901641457,1.6094379124341003,Corporate,Sr Unsecured,1000.0,6.907755278982137,BBB+
2019-08-20,XS2046595836,22.54471522687656,135.0,117.5,1.35,0.5,6.0,0.975,0.6810730055651953,1.791759469228055,Financials,Sr Non Preferred,1000.0,6.907755278982137,BBB+
2019-08-21,XS2047500769,-6.063089123989414,65.0,37.5,0.65,0.0,5.0,0.485,0.31061791705874214,1.6094379124341003,Corporate,Sr Unsecured,750.0,6.620073206530356,BBB
2019-08-27,XS2049154078,7.212757526448185,85.0,67.5,0.85,0.1,6.0,0.5385,0.32112664427425636,1.791759469228055,Financials,Sr Unsecured,1000.0,6.907755278982137,A-
2019-08-27,XS2049616621,-40.032483690879175,57.5,37.5,0.575,0.125,5.0,0.6359,0.39892309617405003,1.6094379124341003,Corporate,Sr Unsecured,1000.0,6.907755278982137,A+
2019-08-27,DK0009525404,5.860935001250201,85.0,72.5,0.85,0.125,5.0,0.6359,0.2514073771229737,1.6094379124341003,Financials,Sr Non Preferred,500.0,6.214608098422191,BBB+
2019-08-27,XS2049582542,7.566487843287941,70.0,,0.7,0.05,7.0,0.48449999999999993,0.0786525543591587,1.9459101490553132,Financials,Sr Non Preferred,750.0,6.620073206530356,A
2019-08-28,XS2049419398,20.44946715229986,185.0,167.5,1.85,1.125,6.5,1.590166034256477,0.9410751334879524,1.8718021769015913,Corporate,Sr Unsecured,650.0,6.476972362889683,BB+
2019-08-28,XS2049584084,-3.3359791117556616,100.0,90.0,1.0,0.375,8.0,0.78,0.1412205730787057,2.0794415416798357,Financials,Sr Non Preferred,500.0,6.214608098422191,BBB
2019-08-28,XS2049707180,7.584953464972419,75.0,65.0,0.75,0.125,7.0,0.57,0.12223124062444349,1.9459101490553132,Financials,Sr Unsecured,750.0,6.620073206530356,A-
