,Instrument,Original Yield Maturity
1997,XS2116740676,0.032
1998,XS2117452156,0.281
1999,XS2117462627,-0.118
2000,XS2114807691,0.133
2001,XS2114852721,1.384
2002,FR0013482890,0.331
2003,FR0013482825,0.068
2004,FR0013482817,-0.069
2005,SW2114852218,
2006,FR0013482841,0.449
2007,XS2114852564,0.764
2008,FR0013482833,0.231
2009,XS2115094737,0.391
2010,XS2115085230,-0.021
2011,FR0013482189,0.381
2012,DE000A254YU1,-0.145
2013,XS2113889351,0.574
2014,XS2113885011,0.423
2015,XS2100269328,-0.019
2016,XS2113700921,0.59
2017,FR0013481207,0.023
2018,DE000A2YNZ16,0.078
2019,DE000MHB61N8,0.5
2020,FR0013479748,0.292
2021,CH0520042489,0.362
2022,BE6318702253,1.07
2023,XS2109806369,0.288
2024,BE0002682632,0.165
2025,BE0002681626,
2026,XS2109608724,1.31
2027,XS2079316753,
2028,FR0013479276,0.752
2029,XS2107315470,0.641
2030,XS2107332640,0.996
2031,XS2021173922,0.074
2032,XS2106563161,0.082
2033,DE000CZ45VM4,0.968
2034,XS2106056653,0.366
2035,FR0013477924,0.114
2036,DE000A2YNVY3,0.101
2037,FR0013477940,0.529
2038,XS2105779719,0.104
2039,AT000B049796,0.268
2040,XS2105772201,1.131
2041,FR0013478047,0.063
2042,XS2104915207,0.053
2043,XS2104915033,0.19
2044,XS2104967695,1.221
2045,ES0413860745,0.245
2046,XS2104968404,1.842
2047,FR0013477486,-0.077
2048,XS2102360315,0.866
2049,XS2102934697,1.19
2050,XS2103014457,0.919
2051,XS2102948994,0.286
2052,XS2103015009,0.14
2053,XS2102931594,0.434
2054,XS2103013210,0.5
2055,XS2102924383,0.616
2056,XS2103014291,0.519
2057,DK0009526998,0.766
2058,XS2102357014,0.441
2059,FR0013476595,0.664
2060,XS2102380776,0.797
2061,XS2102283814,0.144
2062,XS2102355588,0.008
2063,XS2100690036,0.415
2064,FR0013476553,0.859
2065,XS2100569552,0.449
2066,XS2058989489,0.06
2067,XS2102357105,0.915
2068,XS2101349723,0.615
2069,FR0013476199,0.308
2070,DE000CZ45VC5,0.548
2071,XS2101336316,0.403
2072,FR0013476090,1.216
2073,AT0000A2CDT6,0.135
2074,DE000LB2CQG8,-0.062
2075,CH0517825276,
2076,XS2098350965,0.797
2077,XS2100788780,0.457
2078,DE000A2SBDF7,2.332
2079,DE000A2SBDE0,1.129
2080,XS2090807293,1.065
2081,FR0013465424,2.182
2082,DE000CZ45VF8,0.085
2083,XS2090786943,0.831
2084,XS2084759757,0.971
2085,XS2088659789,0.164
2086,XS2089229806,1.939
2087,FR0013465358,0.536
2088,DE000CZ45VC5,0.548
2089,FR0013465010,0.083
2090,FR0013446930,
2091,XS2086868010,0.956
2092,DE000A254P51,0.959
2093,DE000A254P69,1.728
2094,XS2082472122,1.059
2095,DK0009525917,0.318
2096,XS2084050637,0.448
2097,XS2083301106,0.067
2098,DE000A162BA6,-0.25
2099,XS2081615473,0.586
2100,XS2082969655,
2101,XS2082323630,1.034
2102,XS2082345955,0.719
2103,DK0004132677,0.17481
2104,DE000DL19U15,0.107
2105,DE000A14J0L1,-0.15
2106,XS2081016763,1.104
2107,XS2080581189,0.193
2108,XS2075185228,0.915
2109,AT000B122049,0.212
2110,XS2080205367,0.822
2111,XS2079678400,0.639
2112,XS2079723552,0.102
2113,FR0013460417,0.182
2114,XS2079713322,0.456
2115,AT000B066840,0.461
2116,XS2078692105,0.572
2117,XS2078735433,0.971
2118,FR0013459757,0.112
2119,BE6317283610,0.497
2120,XS2078734626,0.194
2121,XS2078735276,0.545
2122,XS2078405722,-0.21
2123,XS2978498716,
2124,XS2077546682,0.741
2125,DE000SCB0021,0.094
2126,DE000A2R9ZU9,0.714
2127,DE000A2R9ZT1,0.322
2128,DE000A2YPFU9,1.231
2129,XS2076139166,0.167
2130,XS2076079594,
2131,DE000BHY0GA7,0.587
2132,XS2075811781,0.906
2133,FR0013457967,0.939
2134,XS2068969067,0.302
2135,FR0013456621,0.986
2136,FR0013456431,0.537
2137,FR0013456423,0.022
2138,FR0013456449,0.986
2139,XS2068978050,
2140,DE000A2YNX91,0.119
2141,XS2069407786,1.897
2142,XS2069304033,-0.055
2143,FR0013455813,0.582
2144,FR0013455821,1.25
2145,FR0013455540,0.63
2146,XS2066392452,0.632
2147,BE6316872389,
2148,XS2068065163,1.368
2149,XS2067135421,0.392
2150,FR0013454733,0.025
2151,XS2067213913,1.67
2152,XS2066706818,0.189
2153,XS2066706909,0.474
2154,FR0013453974,1.976
2155,XS2066706735,1.204
2156,XS2066058988,0.639
2157,FR0013449261,2.183
2158,DE000A2YNVM8,-0.317
2159,XS2063659945,0.254
2160,XS2065698834,0.046
2161,XS2056572154,0.441
2162,XS2057069093,0.788
2163,XS2057069762,1.176
2164,XS2064302735,
2165,FR0013453040,0.309
2166,XS2058731717,0.275
2167,XS2057070182,1.54
2168,XS2065601937,0.944
2169,FR0013452893,2.272
2170,XS2063496546,-0.269
2171,XS2063547041,0.515
2172,XS2062490649,2.045
2173,XS2063268754,1.281
2174,XS2063288190,-0.211
2175,FR0013451796,-0.053
2176,FR0013450822,0.473
2177,XS2060691040,0.458
2178,XS2058855441,-0.112
2179,DE000A2R8NC5,0.159
2180,DE000DL19UW8,
2181,DE000A2R8NE1,1.738
2182,DE000A2R8ND3,0.762
2183,SK4000016069,-0.096
2184,XS2057917366,-0.256
2185,XS2058729653,0.382
2186,XS2057872595,0.264
2187,XS2056484889,-0.068
2188,XS2056560571,
2189,XS2053346297,0.5
2190,DE000LB2CNE0,0.46
2191,XS2056430874,0.41
2192,XS2056491660,
2193,XS2055786763,-0.421
2194,XS2056399855,0.719
2195,XS2056376135,-0.123
2196,XS2056396919,0.374
2197,ES0343307015,
2198,XS2056400299,0.674
2199,XS2056395606,-0.015
2200,XS2055758804,0.765
2201,XS2055652056,1.882
2202,XS2055727916,0.068
2203,XS2055651918,1.237
2204,XS2055728054,0.486
2205,XS2049803575,0.025
2206,XS2055627538,0.477
2207,FR0013448859,0.875
2208,XS2055089960,-0.021
2209,XS2055190172,1.217
2210,FR0013448669,
2211,XS2055104785,0.607
2212,XS2042667944,0.73
2213,FR0013447638,1.028
2214,FR0013447604,0.381
2215,FR0013447232,
2216,XS2053052895,0.428
2217,DE000CZ45VB7,0.32
2218,FR0013444551,0.439
2219,FR0013444544,0.193
2220,XS2051655095,0.738
2221,FR0013444502,-0.119
2222,FR0013444536,0.014
2223,FR0013447166,1.241
2224,DE000LB2CMY0,-0.218
2225,FR0013447075,0.11
2226,XS2010045198,0.278
2227,XS2010044209,0.606
2228,XS2049419398,1.175
2229,XS2010045271,0.019
2230,XS2051494222,0.54
2231,XS2051667181,0.049
2232,XS2051777873,0.991
2233,XS2051660509,1.13
2234,XS2051660335,0.069
2235,XS2051659915,0.255
2236,XS2051914963,0.507
2237,XS2051494495,1.247
2238,XS2051362072,0.823
2239,XS2051362312,1.84
2240,AT0000A2A6W3,-0.16
2241,FR0013446598,-0.187
2242,XS2051361264,0.299
2243,XS2051032444,0.239
2244,XS2050404800,0.48
2245,XS2050406094,0.757
2246,XS2050406177,1.381
2247,XS2050404636,0.226
2248,XS2051149552,1.819
2249,FR0013445137,0.114
2250,XS2049630887,0.118
2251,FR0013445152,1.17
2252,FR0013445129,-0.326
2253,XS2049630028,0.402
2254,XS2050945984,0.151
2255,XS2049726990,0.315
2256,XS2050448336,1.148
2257,BE6315847804,0.536
2258,XS2049090595,0.216
2259,DE000A2NBKK3,
2260,XS2049146215,0.606
2261,DE000MHB24J4,-0.567
2262,FR0013444676,-0.024
2263,XS2049584084,0.48
2264,FR0013444775,-0.001
2265,XS2049419398,1.175
2266,XS2049707180,0.186
2267,DE000A2YN2U2,0.596
2268,FR0013444759,0.232
2269,DE000A2YN2V0,1.287
2270,XS2049769297,0.947
2271,FR0013444692,1.416
2272,FR0013444684,0.556
2273,XS2049616894,0.55
2274,DK0009525404,0.201
2275,XS2049154078,
2276,XS2049616894,0.55
2277,XS2049548444,0.206
2278,XS2049616464,-0.315
2279,XS2049582542,0.078
2280,XS2049616621,0.179
2281,XS2047500769,-0.149
2282,XS2047500926,0.373
2283,DE000BHY0BS0,-0.588
2284,XS2046595836,
2285,XS2043678841,0.228
2286,DE000A2YNZW8,0.39
2287,DE000A2YNZX6,0.765
2288,DE000A2YNZY4,1.126
2289,DE000A2YNZV0,0.026
2290,XS2035474126,0.916
2291,XS2035473748,0.303
2292,XS2035474555,1.54
2293,XS2035620710,0.29
2294,XS2034629134,1.345
2295,XS2034626460,0.471
2296,XS2033351995,0.252
2297,DE000LB2CLH7,0.421
2298,XS2028900087,0.848
2299,CH0485252834,0.821
2300,XS2028899727,0.339
2301,XS2031862076,0.182
2302,XS2029574634,0.462
2303,FR0013434776,0.518
2304,DE000BHY0GL4,0.0
2305,XS2028816028,0.905
2306,FR0013434321,0.133
2307,FR0013433281,0.171
2308,FR0013433604,-0.043
2309,ES0413900566,0.263
2310,XS2025468542,0.041
2311,XS2023872174,0.963
2312,XS2023873149,1.64
2313,XS2023631489,0.92
2314,XS2023644540,0.901
2315,XS2023376945,0.984
2316,XS2023643146,-0.042
2317,XS2023644201,0.44
2318,XS2023633931,
2319,FR0013432770,0.149
2320,ES0213679HN2,0.892
2321,FR0013432069,0.096
2322,XS2020608548,1.084
2323,XS2021471433,0.389
2324,XS2021993212,1.684
2325,XS2022037795,-0.227
2326,XS2022084367,1.743
2327,XS2022093517,1.091
2328,XS2022093434,0.142
2329,FR0013431715,1.83
2330,XS2021467753,0.939
2331,XS2021462440,0.933
2332,FR0013430535,1.158
2333,FR0013430733,0.908
2334,XS2019976070,0.788
2335,DK0009522062,0.72
2336,FR0013430741,0.737
2337,XS2018637913,0.459
2338,XS2018636600,0.373
2339,FR0013330099,1.785
2340,XS2016070430,0.316
2341,FR0013429073,0.659
2342,XS2014382845,0.988
2343,CH0483180946,1.053
2344,BE0002631126,1.156
2345,FR0013428943,0.746
2346,XS2016228087,0.99
2347,FR0013428414,1.369
2348,XS2016160777,2.633
2349,FR0013428513,1.493
2350,FR0013428489,0.449
2351,XS2008921947,0.729
2352,XS2015267953,0.742
2353,DE000CZ40N46,1.202
2354,XS2014373851,0.833
2355,SK4000015475,0.57
2356,XS2015314037,2.741
2357,XS2015329498,1.508
2358,XS2015240083,1.547
2359,XS2014373182,0.113
2360,XS2013520023,0.692
2361,XS2014287937,0.346
2362,XS2014370915,0.098
2363,XS2014291616,1.611
2364,XS2014288315,0.087
2365,XS2014288158,0.445
2366,XS2014292937,0.598
2367,XS2013745703,1.039
2368,AT0000A28HX3,0.761
2369,DE000AAR0256,0.091
2370,XS2013525410,0.143
2371,XS2013574384,2.387
2372,FR0013426368,1.231
2373,XS2013574202,1.515
2374,XS2013626010,1.628
2375,XS2013574038,1.464
2376,FR0013422623,2.274
2377,XS2010445026,0.191
2378,XS2010447238,0.805
2379,SK4000015400,0.221
2380,XS2004880832,0.523
2381,XS2009943379,1.219
2382,XS2009861480,1.212
2383,DE000MHB61E7,0.522
2384,XS2007244614,0.443
2385,AT000B049788,0.273
2386,XS2005607879,1.452
2387,XS2004795725,0.437
2388,DE000SYM7720,1.384
2389,XS2001737324,0.777
2390,XS2001737910,1.204
2391,FR0013422227,1.732
2392,FR0013422185,
2393,XS1998025008,0.465
2394,XS2004381674,0.696
2395,XS2004381245,1.535
2396,XS2004366287,0.06
2397,DE000BHY0BQ4,0.419
2398,XS2002017361,0.966
2399,FR0013422052,
2400,DE000CZ40N04,0.673
2401,XS2003499386,0.478
2402,XS2002018500,1.693
2403,FR0013422011,1.494
2404,FR0013422003,0.078
2405,XS2002019060,2.566
2406,XS2003442436,1.368
2407,XS2002491780,0.969
2408,XS2002504194,0.08
2409,XS2002491863,1.577
2410,FR0013421799,0.711
2411,XS1995748172,0.105
2412,DE000A1KRJT0,0.238
2413,XS2001278899,1.897
2414,FR0013421369,1.181
2415,ES0465936054,0.819
2416,DE000A1KRJU8,1.024
2417,DE000LB2CHW4,0.497
2418,XS2000538343,0.949
2419,XS1999728394,0.328
2420,XS1998797663,0.343
2421,XS1998798042,1.209
2422,XS1995781546,1.043
2423,XS1995662027,1.307
2424,XS1995795504,1.658
2425,XS1997077364,1.463
2426,XS1995645287,0.146
2427,FR0013419736,
2428,XS1995620967,0.227
2429,AT0000A286W1,0.904
2430,XS1992931508,0.831
2431,XS1992927902,1.231
2432,XS1991186500,0.199
2433,XS1991397545,1.796
2434,XS1991125896,0.448
2435,XS1991126431,1.244
2436,XS1989375412,0.356
2437,FR0013417334,0.951
2438,FR0013417128,1.399
2439,DE000MHB22J8,1.071
2440,XS1987142673,0.502
2441,XS1987097430,0.552
2442,XS1985806600,0.437
2443,FR0013416146,2.413
2444,XS1985004370,1.196
2445,FR0013415692,1.411
2446,XS1982725159,0.489
2447,DE000A2NB841,0.934
2448,XS1981054221,1.231
2449,XS1972559352,0.599
2450,XS1982107903,0.224
2451,XS1982037696,0.612
2452,XS1974922442,1.253
2453,XS1981060624,1.933
2454,XS1974922525,2.119
2455,FR0013414091,1.68
2456,XS1980189028,0.521
2457,XS1980270810,1.017
2458,XS1979446843,1.544
2459,AT0000A27LQ1,1.787
2460,DE000A2E4CQ2,0.477
2461,BE0002645266,0.783
2462,XS1980044728,
2463,XS1979262448,0.318
2464,XS1978200639,0.259
2465,XS1976945722,0.046
2466,XS1978200472,0.381
2467,XS1978200555,-0.069
2468,FR0013413382,0.379
2469,FR0013412947,0.757
2470,FR0013412699,0.807
2471,FI4000378674,0.184
2472,FR0013412707,1.763
2473,BE6312821612,1.146
2474,BE6312822628,1.698
2475,XS1972547696,2.256
2476,XS1972548231,1.589
2477,XS1972547183,0.734
2478,FR0013411600,0.676
2479,DK0009522732,
2480,DK0004132594,0.229837
2481,XS1969600748,1.941
2482,SK4120015108,0.381
2483,XS1968846532,1.195
2484,XS1967635621,1.517
2485,FR0013410818,1.775
2486,XS1967635977,2.415
2487,XS1966038249,1.382
2488,XS1967636199,3.073
2489,FR0013409851,1.335
2490,FR0013409836,-0.049
2491,AT000B049754,0.73
2492,FR0013409844,0.878
2493,DE000A2TSDE2,1.795
2494,FI4000375241,
2495,XS1963849440,1.738
2496,DE000A2TSDD4,0.916
2497,XS1963717704,0.315
2498,IT0005365710,1.186
2499,XS1963555617,1.228
2500,XS1963553919,0.774
2501,FI4000375092,
2502,FR0013408960,1.827
2503,DE000A2LQNQ6,
2504,XS1962513674,1.746
2505,XS1962595895,0.829
2506,XS1962571011,1.943
2507,XS1962554785,0.704
2508,XS1959288868,0.535
2509,XS1962535644,0.424
2510,XS1961772560,1.788
2511,XS1961126775,0.404
2512,XS1960685383,2.081
2513,XS1960260021,1.469
2514,XS1957425702,0.415
2515,ES0313679K13,0.9
2516,XS1959949196,0.378
2517,XS1958214964,0.189
2518,XS1958646082,0.585
2519,XS1958616176,0.411
2520,XS1958648292,
2521,XS1955024986,1.308
2522,AT000B122031,0.47
2523,XS1955024713,0.794
2524,DE000CZ40NS9,1.066
2525,XS1955024630,0.161
2526,XS1957541953,1.499
2527,XS1957532887,0.366
2528,XS1957442541,1.333
2529,XS1956955980,0.665
2530,FR0013405347,0.213
2531,FR0013405339,-0.017
2532,NL0013400401,0.279
2533,FR0013405040,1.88
2534,DE000A2RYD83,0.693
2535,XS1956973967,1.187
2536,DE000A2RYD91,1.416
2537,FR0013405032,1.11
2538,DE000A2TR083,2.035
2539,XS1956037664,1.635
2540,XS1955187775,0.945
2541,XS1956028168,0.965
2542,XS1956027947,2.243
2543,XS1955187932,1.801
2544,XS1955187858,1.285
2545,XS1956014531,1.652
2546,XS1956025651,1.092
2547,XS1955187692,0.301
2548,FR0013404571,1.503
2549,XS1953833750,1.236
2550,FR0013403441,1.375
2551,FR0013403433,0.578
2552,XS1952948104,0.942
2553,XS1952576475,0.768
2554,XS1951927158,0.736
2555,XS1951313763,2.234
2556,XS1951313680,1.251
2557,DE000MHB20J2,0.728
2558,XS1951084638,0.523
2559,XS1948598997,0.483
2560,XS1948611840,1.568
2561,XS1948612905,0.748
2562,DE000A2LQNQ6,
2563,BE6311694010,1.006
2564,XS1947550403,0.577
2565,FR0013400405,0.855
2566,DE000AAR0249,0.206
2567,XS194678819,
2568,DE000BHY0BP6,1.002
2569,DE000BLB6JH4,0.828
2570,XS1945181615,0.712
2571,XS1945130620,0.942
2572,XS1944388856,1.355
2573,XS1945110861,1.848
2574,FR0013399029,1.802
2575,XS1944456109,0.979
2576,XS1944390241,1.879
2577,XS194432763,
2578,XS1944390597,2.528
2579,XS194511060,
2580,XS1944456018,0.489
2581,FR0013399169,0.594
2582,XS1943456829,0.373
2583,XS1943455185,0.588
2584,DE000A2G9HL9,0.881
2585,XS1943561883,1.006
2586,FR0013399102,1.019
2587,FR0013399060,2.693
2588,XS1942629061,0.972
2589,XS1942708873,0.668
2590,DE000A2RWZZ6,1.828
2591,XS1942615607,0.354
2592,FR0013399110,0.3565
2593,FR0013398831,0.774
2594,DE000A2LQNP8,0.288
2595,BE0002631126,1.156
2596,XS1935261013,0.274
2597,XS1939356645,2.208
2598,FR0013398070,2.237
2599,DE000LB126S0,0.026
2600,XS1937715131,0.447
2601,DE000DL19UM9,0.555
2602,XS1937665955,1.736
2603,FR0013397452,1.731
2604,IT0005358491,1.165
2605,XS1936308391,2.31
2606,XS1936208252,2.006
2607,XS1936779245,0.531
2608,XS1936805776,2.465
2609,FR0013397320,1.436
2610,XS1936208419,2.972
2611,FR0013397288,1.353
2612,XS1936784831,0.926
2613,XS1936186425,0.558
2614,XS1936190021,0.05
2615,FR0013396876,1.503
2616,XS1936139770,1.205
2617,FR0013396496,0.509
2618,XS1935153632,0.399
2619,FR0010327452,
2620,FR0013396355,0.513
2621,FR0013396363,1.493
2622,FR0013396520,2.017
2623,FR0013386539,0.868
2624,XS1934743656,0.65
2625,FR0013393899,1.029
2626,FR0013394681,0.892
2627,XS1933820372,2.154
2628,BE0002629104,1.383
2629,DE000BLB6JG6,0.343
2630,XS1934392413,0.346
2631,XS1933815455,1.384
2632,XS1933829324,0.359
2633,XS1933874387,0.336
2634,DE000LB125N3,0.478
2635,FR0013393774,2.073
2636,DE000CZ40NP5,1.292
2637,DE000CZ40NN0,0.206
2638,DE000A2TSTF5,1.352
2639,DE000A2TSTD0,0.303
2640,DE000A2TSTG3,1.748
2641,FR0013385655,1.933
2642,FR0013385515,0.852
2643,XS1918017259,1.001
2644,FR0013385473,1.94
2645,XS1918000107,1.805
2646,XS1917358621,1.726
2647,XS1917614569,
2648,DE000CZ40NM2,0.501
2649,XS1917808922,0.502
2650,XS1917591411,1.109
2651,XS1917590959,1.893
2652,XS1917590876,0.839
2653,XS1917577931,0.358
2654,FR0013383585,0.521
2655,FR0013383346,0.83
2656,XS1914937021,0.394
2657,XS1843448744,3.054
2658,XS1843448660,2.269
2659,XS1843449635,1.225
2660,XS1843449551,0.422
2661,FR0013382348,1.596
2662,XS1912654321,2.151
2663,FR0013381704,2.476
2664,XS1910851242,1.551
2665,XS1910245676,1.124
2666,XS1908370171,2.187
2667,XS1910245593,0.382
2668,XS1909186451,2.508
2669,DE000A2G9HE4,0.587
2670,XS1908273219,1.955
2671,FR0013378445,0.822
2672,XS1904690341,2.476
2673,FR0013378452,1.811
2674,FR0013378460,2.554
2675,DE000MHB21J0,0.281
2676,XS1901222551,0.67
2677,XS1903442744,2.202
2678,XS1898256257,1.09
2679,FI4000353909,
2680,XS1900750107,0.671
2681,XS1900752905,1.918
2682,XS1900752814,1.237
2683,XS1900543494,0.765
2684,XS1901055472,1.911
2685,FR0013375797,0.465
2686,DE000BHY0BJ9,0.39
2687,XS1900804045,0.713
2688,XS1900101046,1.622
2689,BE0002620012,0.377
2690,XS1897489578,1.832
2691,DE000HSH6K32,0.274
2692,XS1892117919,1.46
2693,DE000CZ40NG4,1.357
2694,XS1896660989,1.123
2695,XS1896662175,1.526
2696,XS1896661870,0.279
2697,DE000BHY0GC3,0.666
2698,FR0013371549,2.174
2699,XS1894534343,0.813
2700,XS1894558102,1.647
2701,XS1894121695,1.604
2702,XS1893621026,1.959
2703,XS1893632221,0.31
2704,XS1893631769,2.251
2705,XS1893631330,1.393
2706,XS1886577615,1.02
2707,XS1892240281,1.272
2708,DE000A1KRJS2,1.377
2709,DE000A1KRJR4,0.319
2710,XS1890709774,0.98
2711,FR0013369667,1.057
2712,FR0013368545,2.19
2713,XS1887330188,0.572
2714,DE000CZ40NB5,0.093
2715,FR0013368602,2.146
2716,XS1887485032,0.83
2717,XS1886403200,2.163
2718,FR0013368388,1.608
2719,FR0013368370,0.091
2720,XS1886402814,0.999
2721,XS1885605391,0.32
2722,FR0013368164,1.631
2723,FR0013368206,2.016
2724,FR0013368172,2.181
2725,XS1885608817,1.481
2726,XS1884740041,0.687
2727,XS1883352095,1.242
2728,XS1883911924,0.62
2729,XS1883278183,0.891
2730,NL0013088990,1.106
2731,XS1883355601,0.526
2732,AT0000A22H40,
2733,FR0013367638,1.787
2734,FR0013367620,1.078
2735,FR001336742,
2736,XS1882681452,1.521
2737,XS1882544627,1.125
2738,XS1882544973,2.04
2739,XS1881804006,1.125
2740,XS1881574591,0.881
2741,XS1881593971,1.942
2742,XS1823623878,2.032
2743,XS1881533563,2.085
2744,XS1880870602,0.426
2745,XS1881004730,1.148
2746,XS1849525057,0.775
2747,FR0013365285,0.998
2748,FR0013365293,1.996
2749,AT000B066675,0.62
2750,XS1878191219,1.532
2751,XS1878191052,0.896
2752,XS1878266326,1.501
2753,FR0013359197,1.097
2754,DE000MHB60L4,0.954
2755,FI4000348982,
2756,FR0013359239,1.922
2757,FR0013359254,1.673
2758,DE000AAR0223,
2759,FI4000348966,
2760,XS1877654126,1.52
2761,DE000CZ40M47,0.785
2762,XS1877846110,1.495
2763,FR0013358843,0.949
2764,FR0013357860,2.541
2765,FR0013357845,1.009
2766,XS1877595014,1.877
2767,FR0013357852,1.819
2768,XS1877595444,1.314
2769,BE6307618965,0.367
2770,FR0013358496,0.25
2771,XS1876471183,0.627
2772,FR0013358199,0.579
2773,XS1876076040,1.682
2774,XS1875268689,0.59
2775,XS1874122267,1.491
2776,XS1874127902,1.418
2777,XS1874128033,1.045
2778,DE000BLB6JF8,0.306
2779,XS1874127811,0.412
2780,XS1875284702,1.447
2781,XS1874122770,1.023
2782,XS1873143561,0.202
2783,XS1873143645,1.021
2784,BE6307427029,0.676
2785,XS1872032369,
2786,XS1872032799,1.404
2787,DE000A2GSLV6,0.748
2788,XS1871114473,0.686
2789,XS1872038218,1.415
2790,XS1869468808,0.561
2791,DE000AAR0215,0.44
2792,DE000CZ40M39,1.519
2793,DE000CZ40M21,0.615
2794,DE000BHY0BJ9,0.39
2795,XS1865186677,1.667
2796,XS1865186594,0.363
2797,XS1865186321,1.019
2798,DE000A194DE7,1.522
2799,DE000A194DC1,0.292
2800,DE000A194DD9,0.963
2801,XS1861322383,1.934
2802,XS1861206636,2.063
2803,IT0005340374,1.236
2804,XS1856791873,0.612
2805,XS1839105662,0.819
2806,XS1858912915,1.077
2807,XS1857683335,0.645
2808,XS1856342560,0.737
2809,DE000BLB6JE1,0.693
2810,XS1857073180,0.355
2811,XS1856833543,0.57
2812,XS1856834608,1.469
2813,XS1856797219,1.485
2814,XS1856797300,0.8
2815,DE000DL19UB2,0.293
2816,DE000HSH6K1,
2817,AT0000A228U7,0.919
2818,XS1855440019,0.564
2819,XS185547361,
2820,FR0013349099,2.062
2821,XS1854532865,0.228
2822,BE6305977074,
2823,DE000MHB20J2,0.728
2824,DE000BHY0BH3,0.046
2825,XS1853426549,1.576
2826,XS1852213930,0.36
2827,XS1851278777,1.594
2828,XS1851277969,0.9
2829,DE000A2LQ5M4,1.823
2830,DE000CZ40MU7,0.652
2831,FI4000292669,0.218
2832,FR0013346822,2.014
2833,XS1848875172,0.489
2834,XS1847633119,0.277
2835,XS1847692636,1.371
2836,BE0002602804,0.981
2837,XS1845161790,0.38
2838,DE000LB1P9C8,0.16
2839,FR0013345048,0.601
2840,ES0422714123,0.943
2841,FR0013344686,1.421
2842,FR0013344215,1.491
2843,XS1839888754,0.712
2844,BE0002595735,1.984
2845,FR0013342334,1.554
2846,XS1839386908,0.416
2847,XS1837997979,1.249
2848,XS1837975736,0.756
2849,XS1837288494,1.188
2850,DE000CZ40MW3,0.339
2851,FR0013342128,1.013
2852,DE000A2LQQ0,
2853,XS1830992480,0.655
2854,XS1830986326,1.384
2855,BE0002598762,1.002
2856,NL0013019375,0.691
2857,XS1832967019,0.659
2858,XS1829345427,
2859,XS1829215562,1.134
2860,DE000BHY0150,0.276
2861,FR0013336286,0.851
2862,XS1827629384,0.387
2863,XS1828037827,2.035
2864,FR0013336229,1.506
2865,XS1828037587,1.48
2866,DE000CZ40MU7,0.652
2867,XS1825134742,0.713
2868,FR0013335767,1.622
2869,XS1824235219,0.926
2870,XS1823502577,1.597
2871,FR0013334695,1.644
2872,XS1823513343,1.189
2873,XS1799061558,0.955
2874,XS1823246712,0.542
2875,XS1823246803,1.214
2876,XS1820748538,1.327
2877,XS1820037270,1.458
2878,FR0013332988,1.158
2879,FR0013333002,2.343
2880,FR0013332970,0.169
2881,FR0013332996,1.915
2882,XS1815135352,2.25
2883,DE000A14J0K3,0.399
2884,XS1815116998,1.496
2885,XS1815116998,1.496
2886,XS1814402878,1.074
2887,XS1812905526,1.365
2888,XS1812887443,1.651
2889,XS1811812145,0.708
2890,FR0013331196,1.942
2891,FR0013331188,0.737
2892,XS1811812574,1.505
2893,FR0013330693,1.004
2894,XS1810960390,2.164
2895,XS1811198701,1.757
2896,XS1811023735,0.43
2897,XS1810806635,0.686
2898,XS1809240515,1.148
2899,FR0013330115,0.88
2900,XS1808861840,0.865
2901,XS1808395930,2.071
2902,XS1808739459,0.907
2903,XS1808482746,1.211
2904,XS1806130305,2.043
2905,FR0013329638,0.576
2906,DE000BHY0GB5,1.565
2907,XS1807409450,0.94
2908,DE000CZ40MQ5,0.887
2909,XS1806453814,0.4
2910,XS1805257265,0.935
2911,XS1801905628,1.598
2912,XS1805353734,1.493
2913,FR0013328218,0.287
2914,XS1801780583,0.596
2915,XS1799162588,1.015
2916,DE000AAR0207,0.485
2917,DE000A2LQJ75,1.228
2918,XS1791415828,2.582
2919,XS1792505866,1.694
2920,XS1796209010,2.066
2921,XS1796257092,0.758
2922,FR0013324324,-0.092
2923,FR0013324373,1.909
2924,XS1795254025,0.544
2925,FR0013324340,1.05
2926,FR0013324357,1.493
2927,FR0013324332,0.54
2928,FR0013323870,1.413
2929,FR0013323664,
2930,XS1793316834,0.598
2931,DE000BLB6JD3,0.586
2932,XS1793287472,0.914
2933,DE000A2GSLF9,0.347
2934,FR0013322989,1.876
2935,DE000A2G8VU3,1.47
2936,DE000A2G8VT5,1.026
2937,DE000CZ40MN2,0.636
2938,XS1790961962,0.775
2939,XS1788951090,0.587
2940,FR0013322120,0.372
2941,BE0002583616,0.792
2942,FR0013321536,2.163
2943,XS1788586375,1.316
2944,XS1788605936,1.362
2945,XS1788494257,0.945
2946,FR0013320611,0.78
2947,FR0013320249,
2948,FR0013320058,1.797
2949,XS1781346801,0.874
2950,FR0013262698,1.611
2951,DE000A2G9HU0,1.721
2952,XS1778322351,0.499
2953,DE000DL19T67,0.747
2954,XS1774629346,0.643
2955,XS1771838494,1.187
2956,XS1769041192,1.379
2957,XS1769040111,0.564
2958,XS1769041606,1.746
2959,XS1767930586,1.355
2960,XS1759603761,1.091
2961,XS1767931477,0.431
2962,XS1767087866,1.718
2963,XS1766477522,0.966
2964,FR0013313855,0.987
2965,DE000A2E4ZE9,0.064
2966,FR0013313020,0.693
2967,XS1760129608,0.584
2968,FR0013312493,0.942
2969,FR0013312501,1.636
